"Date","Price","Open","High","Low","Vol.","Change %"
"05/01/2025","25.467","24.6066","24.6070","24.0791","30.85K","-1.68%"
"04/01/2025","25.493","24.6066","24.6070","24.0791","30.85K","-1.68%"
"03/01/2025","25.391","24.6066","24.6070","24.0791","30.85K","-1.68%"
"02/01/2025","25.544","24.6066","24.6070","24.0791","30.85K","-1.68%"
"01/01/2025","25.417","24.6066","24.6070","24.0791","30.85K","-1.68%"
"12/01/2024","25.468","24.6066","24.6070","24.0791","30.85K","-1.68%"
"11/01/2024","25.392","24.6066","24.6070","24.0791","30.85K","-1.68%"
"10/01/2024","25.494","24.6066","24.6070","24.0791","30.85K","-1.68%"
"09/01/2024","25.342","24.6066","24.6070","24.0791","30.85K","-1.68%"
"08/01/2024","25.166","24.6066","24.6070","24.0791","30.85K","-1.68%"
"07/01/2024","25.242","24.6066","24.6070","24.0791","30.85K","-1.68%"
"06/01/2024","24.1914","24.6066","24.6070","24.0791","30.85K","-1.68%"
"05/01/2024","24.6047","25.4431","25.7154","23.8980","40.43K","-3.28%"
"04/01/2024","25.4384","25.2042","26.0365","24.6187","1.01M","0.94%"
"03/01/2024","25.2023","24.8509","25.5913","24.1777","833.69K","1.18%"
"02/01/2024","24.9076","24.4888","26.2049","23.9525","805.46K","1.73%"
"01/01/2024","24.4843","24.3002","25.3328","23.5651","596.40K","0.78%"
"12/01/2023","24.2957","24.5020","25.5056","23.7815","742.15K","-0.81%"
"11/01/2023","24.4951","25.4839","25.6653","23.5814","801.85K","-3.87%"
"10/01/2023","25.4813","26.6805","28.1736","24.8979","672.40K","-4.50%"
"09/01/2023","26.6812","26.1026","26.9889","25.1185","674.80K","2.22%"
"08/01/2023","26.1020","24.9796","28.0100","24.5765","689.12K","4.52%"
"07/01/2023","24.9743","23.9457","25.9918","23.7953","771.45K","4.30%"
"06/01/2023","23.9450","22.2026","24.5842","21.5124","959.02K","7.87%"
"05/01/2023","22.1989","21.9091","22.8001","20.3199","855.81K","1.33%"
"04/01/2023","21.9073","21.2381","23.0140","20.9161","700.56K","3.16%"
"03/01/2023","21.2354","20.4324","21.9688","19.6756","1.01M","3.95%"
"02/01/2023","20.4289","19.2167","20.9880","18.6089","1.28M","6.34%"
"01/01/2023","19.2106","20.0809","21.9181","17.9678","1.21M","-4.34%"
"12/01/2022","20.0812","16.7434","21.1029","16.3629","1.02M","19.94%"
"11/01/2022","16.7434","16.8934","17.4991","16.1203","1.30M","-0.89%"
"10/01/2022","16.8931","16.4032","18.2887","15.5214","1.34M","3.07%"
"09/01/2022","16.3895","16.4713","18.1560","14.9998","1.32M","-0.50%"
"08/01/2022","16.4711","16.9478","18.0693","15.5511","1.16M","-2.81%"
"07/01/2022","16.9476","14.9740","18.5159","13.9122","1.29M","13.18%"
"06/01/2022","14.9738","17.0840","18.3715","13.3811","755.29K","-12.35%"
"05/01/2022","17.0840","19.9699","20.1488","14.6261","263.69K","-14.45%"
"04/01/2022","19.9699","22.2568","24.6367","18.7076","35.75K","-10.28%"
"03/01/2022","22.2568","27.8379","43.0980","21.2426","125.72K","-22.91%"
"02/01/2022","28.8701","21.0539","31.4226","20.2176","793.05K","37.29%"
"01/01/2022","21.0284","20.3629","21.8847","20.1873","772.44K","3.60%"
"12/01/2021","20.2969","20.1437","20.5410","19.8939","747.21K","0.97%"
"11/01/2021","20.1021","19.3142","20.6649","19.1975","834.56K","4.21%"
"10/01/2021","19.2902","19.8039","19.9533","18.8277","864.11K","-2.37%"
"09/01/2021","19.7587","19.9851","20.0804","19.6494","953.62K","-0.73%"
"08/01/2021","19.9040","19.9147","20.3358","19.7808","938.55K","0.07%"
"07/01/2021","19.8907","19.8985","20.5212","19.8141","1.10M","0.13%"
"06/01/2021","19.8653","19.9853","20.1242","19.4738","1.04M","-0.38%"
"05/01/2021","19.9407","20.5007","20.6606","19.8858","993.93K","-2.54%"
"04/01/2021","20.4595","20.5959","21.2659","20.1961","1.20M","-0.57%"
"03/01/2021","20.5774","20.3491","20.9755","19.7470","1.31M","1.94%"
"02/01/2021","20.1867","20.6570","20.8111","19.9095","1.07M","-2.10%"
"01/01/2021","20.6207","20.1526","20.8411","19.8869","1.16M","2.66%"
