"year_month","Price","Open","High","Low","Vol.","Change %"
"2024-06","72.94","76.66","77.52","72.48","443.27K","-5.26%"
"2024-05","76.99","81.48","81.57","76.15","6.28M","-6.03%"
"2024-04","81.93","83.14","87.67","80.88","6.56M","-1.49%"
"2024-03","83.17","78.28","83.85","76.79","5.50M","6.27%"
"2024-02","78.26","75.96","79.80","71.41","6.04M","3.18%"
"2024-01","75.85","71.71","79.29","69.28","6.50M","5.86%"
"2023-12","71.65","75.59","76.76","67.71","5.25M","-5.67%"
"2023-11","75.96","81.31","83.60","72.17","322.17K","-6.25%"
"2023-10","81.02","90.88","91.88","80.74","346.01K","-10.76%"
"2023-09","90.79","83.63","95.03","83.46","5.93M","8.56%"
"2023-08","83.63","81.64","84.89","77.59","299.42K","2.24%"
"2023-07","81.80","70.46","82.00","69.70","297.27K","15.80%"
"2023-06","70.64","67.60","75.06","66.80","6.16M","3.75%"
"2023-05","68.09","76.13","76.28","63.70","440.86K","-11.32%"
"2023-04","76.78","80.27","83.53","73.93","328.40K","1.47%"
"2023-03","75.67","76.85","80.94","64.12","7.07M","-1.79%"
"2023-02","77.05","79.12","80.61","72.25","300.09K","-3.82%"
"2023-01","80.11","80.57","82.66","72.47","189.32K","-0.45%"
"2022-12","80.47","80.56","83.33","70.11","","-0.11%"
"2022-11","80.56","86.17","93.74","73.61","5.68M","-6.90%"
"2022-10","86.53","81.02","93.64","80.87","5.33M","8.86%"
"2022-09","79.49","88.83","90.39","76.25","5.81M","-11.23%"
"2022-08","89.55","98.46","98.65","85.73","6.61M","-9.20%"
"2022-07","98.62","106.01","111.45","90.56","6.16M","-6.75%"
"2022-06","105.76","115.40","123.68","101.53","6.14M","-7.77%"
"2022-05","114.67","104.00","119.98","98.20","5.32M","9.53%"
"2022-04","104.69","101.23","109.81","92.93","5.39M","4.40%"
"2022-03","100.28","96.09","130.50","93.53","8.83M","4.76%"
"2022-02","95.72","88.15","100.54","86.55","8.21M","8.59%"
"2022-01","88.15","75.69","88.84","74.27","7.52M","17.21%"
"2021-12","75.21","67.01","77.44","62.43","7.40M","13.64%"
"2021-11","66.18","83.36","84.97","64.43","9.44M","-20.81%"
"2021-10","83.57","75.12","85.41","74.23","9.22M","11.38%"
"2021-09","75.03","68.55","76.67","67.12","7.75M","9.53%"
"2021-08","68.50","73.91","73.95","61.74","7.93M","-7.37%"
"2021-07","73.95","73.50","76.98","65.21","8.11M","0.65%"
"2021-06","73.47","66.68","74.45","66.41","7.79M","10.78%"
"2021-05","66.32","63.64","67.52","61.56","7.51M","4.31%"
