"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2024","3,471.14","3,343.66","3,487.45","3,343.66","","4.16%"
"03/01/2024","3,332.53","3,259.00","3,343.56","3,234.95","","2.33%"
"02/01/2024","3,256.80","3,220.43","3,275.23","3,135.80","","1.33%"
"01/01/2024","3,214.19","3,099.78","3,219.41","3,099.10","","3.71%"
"12/01/2023","3,099.11","3,155.87","3,162.97","2,959.29","","-2.11%"
"11/01/2023","3,165.79","3,192.96","3,257.32","3,146.53","","-1.10%"
"10/01/2023","3,200.97","3,141.69","3,283.80","3,103.63","","2.16%"
"09/01/2023","3,133.26","3,230.53","3,287.34","2,988.04","","-2.93%"
"08/01/2023","3,227.99","3,085.97","3,234.68","3,015.57","","5.03%"
"07/01/2023","3,073.50","2,795.58","3,073.50","2,776.79","","9.87%"
"06/01/2023","2,797.37","2,720.21","2,821.88","2,628.00","","2.93%"
"05/01/2023","2,717.64","2,623.29","2,748.60","2,483.79","","3.14%"
"04/01/2023","2,634.94","2,474.37","2,657.90","2,463.00","","7.52%"
"03/01/2023","2,450.67","2,258.89","2,472.53","2,235.43","","8.77%"
"02/01/2023","2,253.16","2,232.02","2,290.51","2,140.78","","1.24%"
"01/01/2023","2,225.60","2,171.54","2,226.49","2,145.14","","3.32%"
"12/01/2022","2,154.12","2,189.65","2,210.70","2,070.58","","-0.94%"
"11/01/2022","2,174.53","2,179.15","2,254.94","2,123.32","","0.37%"
"10/01/2022","2,166.61","1,991.88","2,184.38","1,775.04","","10.69%"
"09/01/2022","1,957.31","2,401.98","2,492.15","1,841.42","","-18.45%"
"08/01/2022","2,400.08","2,213.75","2,423.12","2,052.08","","8.41%"
"07/01/2022","2,213.81","2,197.90","2,273.24","2,022.16","","0.41%"
"06/01/2022","2,204.85","2,349.84","2,419.81","2,184.71","","-6.41%"
"05/01/2022","2,355.75","2,444.25","2,490.17","2,229.22","","-3.66%"
"04/01/2022","2,445.17","2,714.62","2,835.46","2,168.18","","-9.56%"
"03/01/2022","2,703.51","2,474.52","2,761.17","2,363.62","","9.43%"
"02/01/2022","2,470.48","3,564.55","3,683.95","1,681.55","","-30.02%"
"01/01/2022","3,530.38","3,825.30","3,892.33","3,158.46","","-6.78%"
"12/01/2021","3,787.26","3,907.17","3,977.16","3,532.29","","-2.66%"
"11/01/2021","3,890.59","4,155.24","4,245.32","3,776.61","","-6.25%"
"10/01/2021","4,150.00","4,078.59","4,292.68","4,065.40","","1.13%"
"09/01/2021","4,103.52","3,924.32","4,112.31","3,918.96","","4.71%"
"08/01/2021","3,918.96","3,791.22","3,949.07","3,771.58","","3.91%"
"07/01/2021","3,771.58","3,843.28","3,915.00","3,679.44","","-1.83%"
"06/01/2021","3,841.85","3,739.57","3,865.20","3,739.57","","3.23%"
"05/01/2021","3,721.63","3,557.62","3,752.80","3,556.08","","5.01%"
"04/01/2021","3,544.00","3,556.28","3,627.91","3,460.39","","0.06%"
"03/01/2021","3,541.72","3,369.68","3,602.18","3,354.09","","5.83%"
"02/01/2021","3,346.64","3,287.96","3,510.77","3,268.52","25.14B","2.12%"
"01/01/2021","3,277.08","3,306.12","3,520.66","3,272.53","","-0.36%"
