"Date","Price","Open","High","Low","Vol.","Change %"
"05/01/2024","0.199","0.195","0.199","0.199","135.50K","-1.49%"
"04/01/2024","0.202","0.202","0.202","0.202","0.25K","0.00%"
"03/01/2024","0.202","0.203","0.203","0.203","1.75K","0.00%"
"02/01/2024","0.202","0.202","0.202","0.202","20.00K","-0.98%"
"01/01/2024","0.204","0.204","0.212","0.212","31.90K","0.99%"
"12/01/2023","0.202","0.194","0.212","0.190","1.83M","4.12%"
"11/01/2023","0.194","0.190","0.194","0.190","2.90M","2.11%"
"10/01/2023","0.190","0.194","0.194","0.194","48.00K","-2.06%"
"09/01/2023","0.194","0.197","0.197","0.197","196.35K","-2.02%"
"08/01/2023","0.198","0.200","0.200","0.196","459.85K","-1.00%"
"07/01/2023","0.200","0.200","0.204","0.204","30.40K","-2.44%"
"06/01/2023","0.205","0.205","0.205","0.205","231.63K","0.80%"
"05/01/2023","0.203","0.203","0.213","0.208","552.37K","0.00%"
"04/01/2023","0.203","0.213","0.213","0.208","229.26K","-6.82%"
"03/01/2023","0.218","0.236","0.236","0.218","476.02K","-7.56%"
"01/01/2023","0.236","0.236","0.238","0.238","33.12K","0.00%"
"12/01/2022","0.236","0.255","0.258","0.242","276.31K","-5.56%"
"11/01/2022","0.250","0.254","0.254","0.254","107.86K","-1.56%"
"10/01/2022","0.254","0.258","0.260","0.247","383.04K","-0.78%"
"09/01/2022","0.256","0.268","0.268","0.256","638.34K","-4.44%"
"08/01/2022","0.268","0.228","0.281","0.217","915.38K","20.54%"
"07/01/2022","0.222","0.226","0.226","0.222","61.25K","-1.75%"
"06/01/2022","0.226","0.227","0.237","0.227","308.66K","-4.39%"
"05/01/2022","0.237","0.237","0.238","0.238","163.62K","5.04%"
"04/01/2022","0.225","0.236","0.237","0.231","400.69K","-6.67%"
"03/01/2022","0.241","0.235","0.241","0.237","299.70K","2.82%"
"02/01/2022","0.235","0.246","0.246","0.240","95.09K","-4.62%"
"01/01/2022","0.246","0.259","0.263","0.252","294.78K","-7.47%"
"12/01/2021","0.266","0.181","0.279","0.180","1.51M","47.12%"
"11/01/2021","0.181","0.122","0.208","0.122","5.99M","46.92%"
"10/01/2021","0.123","0.122","0.123","0.122","860.91K","0.00%"
"09/01/2021","0.123","0.127","0.127","0.119","1.05M","-1.52%"
"08/01/2021","0.125","0.124","0.128","0.124","339.53K","0.76%"
"07/01/2021","0.124","0.129","0.129","0.124","719.10K","-3.68%"
"06/01/2021","0.129","0.137","0.137","0.126","5.35M","-4.74%"
"05/01/2021","0.135","0.142","0.147","0.135","2.70M","-5.30%"
"04/01/2021","0.143","0.141","0.151","0.137","1.83M","1.34%"
"03/01/2021","0.141","0.147","0.151","0.144","1.63M","-6.87%"
"02/01/2021","0.151","0.153","0.153","0.145","1.93M","-1.23%"
"01/01/2021","0.153","0.163","0.163","0.151","2.48M","-7.95%"
