"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2024","1,174.42","1,141.11","1,190.42","1,141.11","","3.30%"
"03/01/2024","1,136.91","1,124.24","1,161.26","1,096.68","","0.85%"
"02/01/2024","1,127.32","1,125.88","1,131.84","1,062.06","","0.15%"
"01/01/2024","1,125.63","1,073.71","1,149.26","1,071.43","","3.89%"
"12/01/2023","1,083.48","1,114.54","1,115.38","1,034.59","","-2.83%"
"11/01/2023","1,115.01","1,080.36","1,159.55","1,074.11","","3.25%"
"10/01/2023","1,079.88","1,006.30","1,107.08","975.72","","7.18%"
"09/01/2023","1,007.58","1,057.20","1,064.33","980.53","","-4.87%"
"08/01/2023","1,059.17","1,059.74","1,066.26","989.28","","0.16%"
"07/01/2023","1,057.43","989.53","1,057.43","951.60","","7.58%"
"06/01/2023","982.94","1,057.96","1,063.50","979.95","","-6.87%"
"05/01/2023","1,055.41","1,028.65","1,091.91","1,004.30","","2.11%"
"04/01/2023","1,033.57","1,005.20","1,046.62","945.60","","3.69%"
"03/01/2023","996.76","945.75","1,012.15","922.45","","5.34%"
"02/01/2023","946.23","999.86","1,018.70","900.08","","-5.49%"
"01/01/2023","1,001.23","954.36","1,029.81","938.46","","3.16%"
"12/01/2022","970.60","1,132.08","1,134.18","922.36","","-13.74%"
"11/01/2022","1,125.14","1,115.36","1,177.36","1,076.71","","1.21%"
"10/01/2022","1,111.68","1,080.33","1,117.23","906.88","","5.30%"
"09/01/2022","1,055.72","1,256.24","1,300.33","1,002.60","","-16.11%"
"08/01/2022","1,258.45","1,131.74","1,274.03","1,069.35","","11.44%"
"07/01/2022","1,129.24","1,345.75","1,345.75","1,082.58","","-16.04%"
"06/01/2022","1,345.01","1,203.66","1,495.66","1,155.91","","11.33%"
"05/01/2022","1,208.12","1,085.11","1,324.10","1,070.14","","11.71%"
"04/01/2022","1,081.52","1,027.84","1,132.71","885.44","","5.90%"
"03/01/2022","1,021.28","803.11","1,021.28","793.65","","9.00%"
"02/01/2022","936.94","1,453.67","1,547.25","610.33","","-34.72%"
"01/01/2022","1,435.23","1,603.68","1,640.39","1,260.55","","-10.06%"
"12/01/2021","1,595.76","1,663.71","1,700.57","1,514.57","","-3.04%"
"11/01/2021","1,645.81","1,838.95","1,877.39","1,585.65","","-10.74%"
"10/01/2021","1,843.83","1,762.31","1,933.59","1,754.69","","3.72%"
"09/01/2021","1,777.74","1,689.29","1,788.01","1,689.29","","5.56%"
"08/01/2021","1,684.16","1,632.24","1,695.41","1,618.00","","3.59%"
"07/01/2021","1,625.76","1,656.70","1,682.69","1,551.73","","-1.69%"
"06/01/2021","1,653.78","1,609.56","1,695.46","1,609.56","","3.52%"
"05/01/2021","1,597.54","1,489.85","1,607.50","1,489.20","","7.58%"
"04/01/2021","1,485.03","1,479.37","1,530.97","1,406.33","","0.54%"
"03/01/2021","1,477.11","1,422.57","1,555.74","1,413.15","","4.62%"
"02/01/2021","1,411.93","1,367.53","1,508.95","1,362.64","","3.24%"
"01/01/2021","1,367.64","1,399.64","1,507.06","1,361.73","","-1.43%"
