area_name_en,area_rating
"Al Muteena",5
"Al Warsan First",4
"Al Thanyah Fifth",5
"Business Bay",10
"Jabal Ali First",6
"Abu Hail",4
"Palm Jumeirah",9
"Al Thanayah Fourth",5
"Al Thanyah Third",5
"Al Barshaa South Third",6
"Dubai Investment Park Second",7
"Marsa Dubai",9
"Al Barsha South Fourth",6
"Mena Jabal Ali",6
"Hor Al Anz",4
"Al Hebiah First",5
"Al Hebiah Fourth",5
"Nad Al Shiba",7
"Nadd Hessa",6
"Burj Khalifa",10
"Me’Aisem First",6
"Naif",4
"Al Thanyah First",6
"Al Murqabat",5
"Al Dhagaya",4
"Saih Shuaib 4",5
"Port Saeed",7
"Al Goze Industrial Second",6
"Al Raffa",5
"Palm Deira",8
"Mankhool",6
"Jabal Ali Industrial First",5
"Al Hamriya",5
"Sikkat Al Khail North",4
"Ras Al Khor Industrial First",6
"Zareeba Duviya",4
"Al Jadaf",7
"Wadi Al Safa 5",5
"Dubai Investment Park First",7
"Saih Shuaib 2",5
"Al Barsha First",8
"Jabal Ali",6
"Al Merkadh",6
"Al Jafliya",6
"Um Hurair Second",5
"Nad Al Shiba First",7
"Al Ras",5
"Al Khabeesi",4
"Al Suq Al Kabeer",5
"Palm Jabal Ali",7
"Al Baraha",4
"Eyal Nasser",4
"Tawaa Al Sayegh",4
"Al Karama",6
"Al Garhoud",7
"Al Buteen",5
"Al Waheda",4
"Al Mararr",4
"Al Warqa First",5
"Al Nahda First",6
"Jabal Ali Industrial Second",5
"Al Nahda Second",6
"Jabal Ali Third",5
"Mirdif",7
"Al Qusais Industrial First",6
"Al Mamzer",7
"Al-Bastakiyah",5
"Trade Center Second",9
"Al Kifaf",7
"Hor Al Anz East",4
"World Islands",7
"Trade Center First",9
"Nad Al Hamar",6
"Wadi Al Safa 3",5
"Al Ruwayyah",5
"Al-Murar Qadeem",4
"Al Ttay",5
"Al Barsha South Fifth",6
"Al Satwa",6
"Al-Zarouniyyah",4
"Hadaeq Sheikh Mohammed Bin Rashid",8
"Al Qusais Industrial Fifth",6
"Al Sabkha",4
"Muhaisanah Fourth",5
"Al Qusais First",6
"Al Safouh Second",7
"Um Hurair First",5
"Al Bada",5
"Al Qusais Industrial Third",6
"Al-Safiyyah",4
"Al Hebiah Second",5
"Jumeirah First",8
"Al Qusais Industrial Fourth",6
"Hessyan First",5
"Al Barshaa South Second",6
"Ras Al Khor Industrial Second",6
"Warsan Fourth",5
"Al Warsan Second",5
"Al Twar Fourth",6
"Al Goze Third",5
"Um Suqaim",8
"Al Barsha Second",7
"Al Warqa Second",5
"Al Qusais Industrial Second",6
"Rega Al Buteen",5
"Madinat Hind 4",5
"Al-Murar Jadeed",4
"Um Ramool",6
"Oud Metha",7
"Al Saffa Second",7
"Al Goze Industrial Fourth",5
"Al Goze Industrial First",6
"Al Khairan First",5
"Al Rega",5
"Al Asbaq",4
"Al Safouh First",7
"Madinat Dubai Almelaheyah",5
"Al Qusais",6
"Saih Shuaib 3",5
"Jabal Ali Industrial Third",5
"Naif North",4
"Wadi Al Safa 2",5
"Al-Riqqa East",5
"Jumeirah Third",8
"Ras Al Khor",6
"Um Suqaim First",8
"Al-Shumaal",4
"Muhaisanah Second",5
"Jumeirah Second",8
"Al Fahidi",6
"Um Suqaim Second",8
"Wadi Al Safa 4",5
"Al Wasl",7
"Al Qoaz",5
"Al-Souq Al Kabeer (Deira)",5"
"Ras Al Khor Industrial Third",6
"Nad Al Shiba Fourth",6
"Al Qusais Second",6
"Dubai International Airport",8
"Al Goze Industrial Third",6
"Al-Aweer",5
"Al Warsan Third",5
"Al-Nakhal",4
"Al Goze Fourth",6
"Al Mizhar First",6
"Al Musalla (Dubai)",5"
"Al Rashidiya",6
"Al Hudaiba",5
"Al-Riqqa West",5
"Al Goze First",6
"Al-Raulah",4
"Nad Al Shiba Third",6
"Burj Nahar",5
"Madinat Al Mataar",5
"Al Warqa Third",5
"Al Hebiah Third",5
"Bur Dubai",7
"Lehbab Second",5
"Al-Mustashfa West",5
"Zaabeel Second",7
"Um Al Sheif",7
"Al Barsha",8
"Al-Nahdah",6
"Al Barshaa South First",6
"Al Aweer First",5
"Jumeirah",9
"Al Manara",7
"Al Warqa Fourth",5
"Al Khawaneej Second",5
"Sikkat Al Khail South",4
"Al Baharna",4
"Al Kheeran",5
"Al Yelayiss 5",5
"Muhaisanah First",6
"Nad Rashid",5
"Naif South",4
"Wadi Al Amardi",5
"Hessyan Second",5
"Al-Cornich",5
"Ghadeer Al tair",5
"Oud Al Muteena First",5
"Um Suqaim Third",8
"Al-Musalla (Deira)",5"
