year_month,annual_return
2021-01,3.36
2021-02,3.16
2021-03,3.22
2021-04,3.32
2021-05,3.30
2021-06,3.41
2021-07,3.62
2021-08,3.86
2021-09,4.14
2021-10,4.33
2021-11,4.62
2021-12,5.12
2022-01,5.11
2022-02,6.31
2022-03,18.67
2022-04,13.87
2022-05,7.99
2022-06,6.92
2022-07,6.11
2022-08,5.00
2022-09,5.49
2022-10,5.12
2022-11,5.25
2022-12,5.38
2023-01,5.27
2023-02,5.36
2023-03,5.72
2023-04,5.63
2023-05,5.44
2023-06,5.35
2023-07,5.69
2023-08,8.58
2023-09,9.40
2023-10,9.96
2023-11,11.64
2023-12,12.78
2024-01,14.32
2024-02,14.45
2024-03,14.47
2024-04,14.53
