date,predicted_mean,property_usage
2024-04-30,15985.866063198868,residential
2024-05-31,15356.128826541692,residential
2024-06-30,15645.427292570095,residential
2024-07-31,15146.100045970386,residential
2024-08-31,14789.315151878473,residential
2024-09-30,15596.593807307314,residential
2024-10-31,15858.679594483941,residential
2024-11-30,15101.304592760274,residential
2024-12-31,15930.219875182114,residential
2025-01-31,16080.16988109802,residential
2025-02-28,15792.510828974122,residential
2025-03-31,15303.748183679541,residential
2024-04-30,10728.635049227216,commercial
2024-05-31,10574.978272108361,commercial
2024-06-30,10699.345520361558,commercial
2024-07-31,10492.784079420366,commercial
2024-08-31,10551.20283257546,commercial
2024-09-30,10753.775385681995,commercial
2024-10-31,10677.91420247267,commercial
2024-11-30,11068.428244203327,commercial
2024-12-31,10519.705232256609,commercial
2025-01-31,10213.028833030336,commercial
2025-02-28,10550.441505707207,commercial
2025-03-31,11726.210686183507,commercial
