area_name_en,area_rating
"Burj Khalifa",9.5
"Al Warsan First",4.2
"Al Thanyah Fifth",5.8
"Me'Aisem First",6.3
"Marsa Dubai",8.7
"Wadi Al Safa 5",6.1
"Al Khairan First",5.5
"Nadd Hessa",5.9
"Al Jadaf",7.2
"Madinat Al Mataar",5.3
"Jumeirah First",8.8
"Al Thanayah Fourth",5.7
"Al Barshaa South Third",6.5
"Al Yufrah 3",4.7
"Business Bay",9.4
"Al Hebiah Fifth",5.4
"Hadaeq Sheikh Mohammed Bin Rashid",8.3
"Al Hebiah Fourth",5.5
"Al Yelayiss 2",5.0
"Al Barsha South Fourth",6.4
"Al Waheda",4.8
"Wadi Al Safa 6",6.0
"Wadi Al Safa 3",6.0
"Dubai Investment Park First",6.7
"Wadi Al Safa 4",6.1
"Mirdif",7.1
"Al Hebiah First",5.7
"Al Merkadh",6.3
"Jabal Ali First",6.0
"Wadi Al Safa 2",5.8
"Al Hebiah Second",5.6
"Al Thanyah Third",5.8
"Al Thanyah First",6.1
"Al Goze Fourth",5.5
"Zaabeel Second",7.5
"Al Hebiah Third",5.6
"Dubai Investment Park Second",6.5
"Palm Jumeirah",8.9
"Al Barsha South Fifth",6.2
"Saih Shuaib 2",5.1
"Madinat Dubai Almelaheyah",5.3
"Al Safouh First",7.6
"Um Suqaim Third",8.6
"Al Yelayiss 1",5.0
"Al Yufrah 1",4.6
"Madinat Hind 4",5.2
"Nad Al Shiba First",7.0
"Al Warqa First",6.3
"Al Wasl",8.0
"Al Barshaa South Second",6.4
"Al Ruwayyah",5.4
"Al Yufrah 2",4.7
"Al Kifaf",7.1
"Al Hebiah Sixth",5.4
"Al Satwa",6.5
"Al Mizhar Second",5.7
"Al Kheeran",5.5
"Al Bada",6.0
"Warsan Fourth",5.2
"Hor Al Anz",4.3
"Nad Al Hamar",6.2
"Al Barsha Second",7.2
"Jabal Ali Industrial Second",5.4
"Muhaisanah First",5.9
"Palm Deira",7.4
"Wadi Al Safa 7",6.0
"Al Rashidiya",6.5
"Jumeirah Third",8.7
"Al Barsha Third",7.1
"Zaabeel First",7.6
"Island 2",5.5
"Al Muteena",4.0
"Um Suqaim First",8.8
"Al Goze First",5.5
"Al Safouh Second",7.4
"Um Suqaim",8.6
"Ghadeer Al tair",5.2
"Trade Center Second",8.5
"Al Twar Fourth",5.7
"Nad Al Shiba",7.1
"Um Hurair Second",5.8
"Nad Rashid",5.5
"Al Jafliya",5.9
"Muhaisanah Third",5.7
"Abu Hail",4.5
"Al Mizhar First",5.8
"Al Khawaneej",6.0
"Al Khawaneej First",5.8
"Al Warqa Fourth",6.1
"Al Warqa Third",6.2
"Al Saffa Second",6.7
"Um Al Sheif",7.4
"Al Twar Second",5.7
"Bukadra",5.6
"Al Qusais Second",5.9
"Al Manara",7.2
"Hessyan First",5.4
"Hor Al Anz East",4.4
"Um Suqaim Second",8.7
"Jabal Ali",6.0
"Al Baraha",4.3
"Al Safaa",7.1
"Al Qusais Industrial Fourth",5.5
"Al Rega",5.3
"Al Warqa Second",6.3
"Mankhool",6.0
"Al Barsha First",7.3
"Nad Shamma",5.7
"Jumeirah Second",8.7
"World Islands",6.0
"Al Mamzer",7.0
"Al Barshaa South First",6.5
"Saih Aldahal",5.0
"Al Mizhar",5.8
"Al-Muhaisnah North",5.7
"Al Barsha",7.5
"Al Khabeesi",4.5
"Al Twar Third",5.7
"Al Lusaily",5.1
"Rega Al Buteen",5.4
"Jumeirah",8.8
"Al Twar First",5.8
"Al Hudaiba",5.9
"Al Mararr",4.6
"Al Saffa First",7.0
"Al Qusais First",5.9
"Al Dhagaya",4.2
"Al Garhoud",6.6
"Al Qusais Industrial First",5.6
"Al Hamriya",5.5
"Al Mizhar Third",5.7
"Al Suq Al Kabeer",5.3
"Wadi Al Amardi",5.4
"Al Aweer Second",5.2
"Al Rowaiyah First",5.3
"Jabal Ali Industrial Third",5.4
"Al-Tawar",5.8
"Nad Al Shiba Fourth",6.2
"Port Saeed",6.6
"Lehbab Second",5.0
"Al Murqabat",5.5
"Al Khairan  Second",5.5
"Naif",4.0
"Al Khawaneej Second",5.8
"Nad Al Shiba Second",6.2
"Hessyan Second",5.4
"Oud Metha",6.5
"Um Hurair First",5.8
"Saih Shuaib 1",5.1
"Al Karama",6.2
"Um Ramool",5.5
"Oud Al Muteena First",5.4
"Muhaisanah Fourth",5.7
"Eyal Nasser",4.4
"Al Ras",4.6
"Madinat Hind 2",5.3
"Al Raffa",5.2
"Al Aweer First",5.2
"Madinat Hind 1",5.2
"Al Maha",5.0
"Muhaisanah Second",5.8
"Al Buteen",5.3
"Al Ttay",5.1
"Margham",5.0
"Muhaisna",5.7
"Al-Bastakiyah",5.5
"Al Qoaz",5.4
"Al Yufrah 4",4.7
"Al Nahda Second",5.8
"Nad Al Shiba Third",6.1
"Lehbab",4.9
"Sikkat Al Khail North",4.3
"Al-Riqqa West",5.4
"Wadi Alshabak",5.0
"Al-Riqqa East",5.4
"Ras Al Khor Industrial First",5.6
"Al Qusais Industrial Second",5.5
"Al Qusais",6.0
"Jabal Ali Industrial First",5.4
"Sikkat Al Khail South",4.4
"Al Nahda First",5.8
"Al-Aweer",5.2
"Al Goze Industrial Third",5.5
"Trade Center First",8.4
"Ras Al Khor",6.3
"Al Eyas",5.2
"Al-Souq Al Kabeer (Deira)",5.3
"Al Goze Industrial Second",5.4
"Al Yelayiss 4",5.1
"Al-Murar Qadeem",4.4
"Al-Safiyyah",5.4
"Al Goze Industrial First",5.6
