date,price
"01.04.2024",601.77
"01.03.2024",615.06
"01.02.2024",622.08
"01.01.2024",617.14
"01.12.2023",617.78
"01.11.2023",590.9
"01.10.2023",595.48
"01.09.2023",613.21
"01.08.2023",623.3
"01.07.2023",626.84
"01.06.2023",628.7
"01.05.2023",624.07
"01.04.2023",617.82
"01.03.2023",612.16
"01.02.2023",614.91
"01.01.2023",612.29
"01.12.2022",608.87
"01.11.2022",603.29
"01.10.2022",579.45
"01.09.2022",616.89
"01.08.2022",618.6
"01.07.2022",607.9
"01.06.2022",579.35
"01.05.2022",563.61
"01.04.2022",519.67
"01.03.2022",479.0
"01.02.2022",564.82
"01.01.2022",590.3
"01.12.2021",584.15
"01.11.2021",587.16
"01.10.2021",607.95
"01.09.2021",614.33
"01.08.2021",614.55
"01.07.2021",604.08
"01.06.2021",605.37
"01.05.2021",604.48
"01.04.2021",600.28
"01.03.2021",604.09
"01.02.2021",615.27
"01.01.2021",621.0
